intensity,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,43166
61,24509
62,20440
63,19803
64,21316
65,26638
66,29686
67,31843
68,38109
69,42637
70,49813
71,54948
72,61524
73,67176
74,71392
75,76388
76,81294
77,84748
78,89562
79,93992
80,96309
81,96971
82,94674
83,93208
84,90172
85,87325
86,86053
87,84342
88,84734
89,85217
90,85934
91,86779
92,87571
93,88423
94,89440
95,90265
96,91923
97,92824
98,93437
99,93997
100,94464
101,94826
102,95315
103,95370
104,95832
105,95180
106,95653
107,95760
108,94506
109,94822
110,95371
111,95767
112,95145
113,94250
114,94255
115,93898
116,93469
117,92395
118,92550
119,91174
120,89338
121,88569
122,88004
123,87297
124,85732
125,84758
126,83642
127,83111
128,81657
129,81064
130,79901
131,79185
132,78678
133,77505
134,76940
135,76317
136,76272
137,75562
138,74542
139,73756
140,73226
141,72512
142,71665
143,71018
144,69864
145,69358
146,68083
147,67472
148,66628
149,66128
150,65286
151,64530
152,65315
153,66566
154,87592
155,92487
156,154977
157,141753
158,188526
159,186544
160,249343
161,320596
162,329131
163,449610
164,397820
165,316144
166,302918
167,318078
168,301351
169,380096
170,362214
171,422759
172,274096
173,303430
174,300362
175,289203
176,288878
177,312734
178,308610
179,294209
180,336141
181,264080
182,181565
183,142961
184,120278
185,105731
186,97811
187,92588
188,89343
189,87250
190,86420
191,86340
192,87333
193,87851
194,88864
195,89915
196,90575
197,91617
198,91403
199,91927
200,90528
201,90853
202,91028
203,91196
204,92519
205,92425
206,92437
207,92542
208,92774
209,93503
210,95075
211,96890
212,97931
213,99258
214,100770
215,101781
216,104363
217,107267
218,111218
219,113160
220,115001
221,116797
222,117498
223,119343
224,121500
225,124818
226,130894
227,134744
228,139654
229,140253
230,140252
231,139349
232,137425
233,135372
234,134230
235,134103
236,131436
237,128956
238,128519
239,128934
240,131928
241,136696
242,143165
243,148299
244,151210
245,150186
246,145500
247,137886
248,128848
249,119341
250,108573
251,98686
252,89168
253,81880
254,73988
255,526531
