intensity,count
0,3113187
1,95370
2,95832
3,0
4,95180
5,95653
6,0
7,95760
8,94506
9,0
10,94822
11,95371
12,0
13,95767
14,95145
15,0
16,94250
17,94255
18,0
19,93898
20,93469
21,0
22,92395
23,92550
24,0
25,91174
26,89338
27,0
28,88569
29,88004
30,0
31,87297
32,85732
33,0
34,84758
35,83642
36,0
37,83111
38,81657
39,0
40,81064
41,79901
42,0
43,79185
44,78678
45,0
46,77505
47,76940
48,0
49,76317
50,76272
51,0
52,75562
53,74542
54,0
55,73756
56,73226
57,0
58,72512
59,71665
60,0
61,71018
62,69864
63,0
64,69358
65,68083
66,0
67,67472
68,66628
69,0
70,66128
71,65286
72,0
73,64530
74,65315
75,0
76,66566
77,87592
78,0
79,92487
80,154977
81,0
82,141753
83,188526
84,0
85,186544
86,249343
87,0
88,320596
89,329131
90,0
91,449610
92,397820
93,0
94,316144
95,302918
96,0
97,318078
98,301351
99,0
100,380096
101,362214
102,0
103,422759
104,274096
105,0
106,303430
107,300362
108,0
109,289203
110,288878
111,0
112,312734
113,308610
114,0
115,294209
116,336141
117,0
118,264080
119,181565
120,0
121,142961
122,120278
123,0
124,105731
125,97811
126,0
127,92588
128,89343
129,0
130,87250
131,86420
132,0
133,86340
134,87333
135,0
136,87851
137,88864
138,0
139,89915
140,90575
141,0
142,91617
143,91403
144,0
145,91927
146,90528
147,0
148,90853
149,91028
150,0
151,91196
152,92519
153,0
154,92425
155,92437
156,0
157,92542
158,92774
159,0
160,93503
161,95075
162,0
163,96890
164,97931
165,0
166,99258
167,100770
168,0
169,101781
170,104363
171,0
172,107267
173,111218
174,0
175,113160
176,115001
177,0
178,116797
179,117498
180,0
181,119343
182,121500
183,0
184,124818
185,130894
186,0
187,134744
188,139654
189,0
190,140253
191,140252
192,0
193,139349
194,137425
195,0
196,135372
197,134230
198,0
199,134103
200,131436
201,0
202,128956
203,128519
204,0
205,128934
206,131928
207,0
208,136696
209,143165
210,0
211,148299
212,151210
213,0
214,150186
215,145500
216,0
217,137886
218,128848
219,0
220,119341
221,108573
222,0
223,98686
224,89168
225,0
226,81880
227,73988
228,0
229,66698
230,62389
231,0
232,60778
233,56348
234,0
235,48109
236,35015
237,0
238,21903
239,13618
240,0
241,9920
242,8411
243,0
244,7793
245,7325
246,0
247,6885
248,6563
249,0
250,6114
251,5879
252,0
253,5397
254,5232
255,92154
