intensity,count
0,43166
1,24509
2,20440
3,19803
4,21316
5,26638
6,29686
7,31843
8,38109
9,42637
10,49813
11,54948
12,61524
13,67176
14,71392
15,76388
16,81294
17,84748
18,89562
19,93992
20,96309
21,96971
22,94674
23,93208
24,90172
25,87325
26,86053
27,84342
28,84734
29,85217
30,85934
31,86779
32,87571
33,88423
34,89440
35,90265
36,91923
37,92824
38,93437
39,93997
40,94464
41,94826
42,95315
43,95370
44,95832
45,95180
46,95653
47,95760
48,94506
49,94822
50,95371
51,95767
52,95145
53,94250
54,94255
55,93898
56,93469
57,92395
58,92550
59,91174
60,89338
61,88569
62,88004
63,87297
64,85732
65,84758
66,83642
67,83111
68,81657
69,81064
70,79901
71,79185
72,78678
73,77505
74,76940
75,76317
76,76272
77,75562
78,74542
79,73756
80,73226
81,72512
82,71665
83,71018
84,69864
85,69358
86,68083
87,67472
88,66628
89,66128
90,65286
91,64530
92,65315
93,66566
94,87592
95,92487
96,154977
97,141753
98,188526
99,186544
100,249343
101,320596
102,329131
103,449610
104,397820
105,316144
106,302918
107,318078
108,301351
109,380096
110,362214
111,422759
112,274096
113,303430
114,300362
115,289203
116,288878
117,312734
118,308610
119,294209
120,336141
121,264080
122,181565
123,142961
124,120278
125,105731
126,97811
127,92588
128,89343
129,87250
130,86420
131,86340
132,87333
133,87851
134,88864
135,89915
136,90575
137,91617
138,91403
139,91927
140,90528
141,90853
142,91028
143,91196
144,92519
145,92425
146,92437
147,92542
148,92774
149,93503
150,95075
151,96890
152,97931
153,99258
154,100770
155,101781
156,104363
157,107267
158,111218
159,113160
160,115001
161,116797
162,117498
163,119343
164,121500
165,124818
166,130894
167,134744
168,139654
169,140253
170,140252
171,139349
172,137425
173,135372
174,134230
175,134103
176,131436
177,128956
178,128519
179,128934
180,131928
181,136696
182,143165
183,148299
184,151210
185,150186
186,145500
187,137886
188,128848
189,119341
190,108573
191,98686
192,89168
193,81880
194,73988
195,66698
196,62389
197,60778
198,56348
199,48109
200,35015
201,21903
202,13618
203,9920
204,8411
205,7793
206,7325
207,6885
208,6563
209,6114
210,5879
211,5397
212,5232
213,4980
214,4712
215,4489
216,4167
217,4116
218,3821
219,3499
220,3386
221,3242
222,2991
223,2817
224,2695
225,2405
226,2239
227,2179
228,2081
229,1907
230,1864
231,1710
232,1605
233,1552
234,1410
235,1429
236,1323
237,1232
238,1263
239,1100
240,1117
241,1145
242,1148
243,1103
244,1148
245,1250
246,1352
247,1456
248,1806
249,2424
250,2520
251,2677
252,1730
253,824
254,233
255,7
